CSID,CaseID,CSType,CSDate,CourtID,JudgeName
118,25299,B,2024-03-27,2,Shri R.K. Kulkarni
119,25367,A,2023-07-19,2,Smt. P. Sridevi
120,25486,B,2023-11-04,2,Shri M.V. Reddy
121,26159,A,2024-01-14,1,Shri R.K. Kulkarni
122,26351,B,2024-03-30,1,Shri S.R. Naik
123,28048,A,2024-01-21,2,Smt. V. Patil
124,28203,C,2023-10-18,2,Smt. V. Patil
125,28850,B,2024-03-09,1,Shri R.K. Kulkarni
126,29666,A,2024-04-11,2,Shri P.K. Sharma
127,29823,B,2023-08-25,2,Shri P.K. Sharma
128,30211,B,2023-11-05,1,Smt. P. Sridevi
129,31176,B,2023-05-28,2,Shri S.R. Naik
130,31584,B,2023-09-10,2,Shri T.G. Rao
131,31617,A,2023-10-06,1,Smt. V. Patil
132,32481,C,2024-04-23,2,Smt. V. Patil
133,32542,A,2023-08-11,1,Shri M.V. Reddy
134,32588,A,2024-03-06,2,Smt. R. Sumathi
135,32600,A,2023-06-05,2,Smt. K. Latha
136,32757,B,2023-12-29,1,Shri B.N. Prasad
137,33161,B,2024-01-03,1,Shri R.K. Kulkarni
138,33208,B,2023-05-10,2,Smt. K. Latha
139,33346,B,2023-05-01,1,Shri T.G. Rao
140,33401,B,2023-12-15,1,Shri B.N. Prasad
141,34420,C,2023-10-27,1,Shri B.N. Prasad
142,34518,A,2024-05-09,1,Shri T.G. Rao
143,35324,B,2023-11-16,2,Smt. K. Latha
144,35439,A,2023-09-15,1,Smt. K. Latha
145,35808,C,2023-07-31,1,Shri A. Krishnamurthy
146,35938,C,2023-06-30,1,Smt. D. Savitha
147,36336,B,2023-05-24,2,Shri T.G. Rao
148,36385,A,2023-09-29,2,Shri A. Krishnamurthy
149,36759,A,2024-03-24,1,Smt. D. Savitha
150,36768,A,2023-08-12,1,Shri S.R. Naik
151,37412,B,2024-03-08,1,Shri Y. Manjunath
152,37509,C,2023-11-18,2,Smt. K. Latha
153,37809,A,2023-05-25,2,Smt. D. Savitha
154,37834,A,2023-10-01,1,Smt. J. Anitha
155,37932,A,2024-03-07,2,Shri P.K. Sharma
156,38674,A,2023-12-03,1,Smt. J. Anitha
157,38898,A,2024-01-12,2,Smt. D. Savitha
158,39231,C,2023-07-04,2,Shri T.G. Rao
159,39241,B,2023-07-09,1,Smt. N. Hegde
160,39266,B,2024-03-12,2,Shri M.V. Reddy
161,40021,A,2023-11-26,2,Smt. P. Sridevi
162,40153,B,2023-12-28,1,Shri S.R. Naik
163,40746,B,2023-06-05,1,Smt. N. Hegde
164,41129,B,2023-07-24,1,Shri T.G. Rao
165,42069,C,2023-11-24,1,Shri R.K. Kulkarni
166,42347,C,2024-02-02,1,Smt. V. Patil
167,42618,B,2023-08-05,1,Shri T.G. Rao
168,42770,B,2023-10-12,1,Smt. K. Latha
169,42897,A,2023-07-29,1,Shri S.R. Naik
170,43120,A,2023-10-08,2,Shri S.R. Naik
171,43377,C,2024-04-24,1,Shri P.K. Sharma
172,43437,A,2023-06-29,2,Smt. V. Patil
173,43463,B,2023-07-19,1,Shri M.V. Reddy
174,43608,A,2024-01-14,1,Smt. K. Latha
175,44049,A,2023-06-22,2,Smt. J. Anitha
176,44055,A,2023-11-13,1,Shri T.G. Rao
177,44093,A,2024-04-09,2,Smt. N. Hegde
178,44112,A,2023-10-07,1,Shri P.K. Sharma
179,45083,A,2023-03-19,1,Smt. K. Latha
180,45249,B,2023-06-02,1,Shri Y. Manjunath
181,45661,B,2024-02-13,1,Smt. J. Anitha
182,45836,B,2023-09-08,1,Smt. R. Sumathi
183,46568,C,2023-09-21,2,Shri R.K. Kulkarni
184,46633,A,2024-05-21,2,Smt. D. Savitha
185,46875,C,2023-09-01,1,Smt. J. Anitha
186,47124,A,2023-12-20,1,Smt. K. Latha
187,47134,B,2023-05-17,2,Shri B.N. Prasad
188,47288,B,2023-08-28,2,Shri T.G. Rao
189,47859,B,2023-11-09,2,Smt. P. Sridevi
190,48351,B,2023-04-20,2,Shri T.G. Rao
191,48978,B,2023-09-11,1,Shri Y. Manjunath
192,49060,B,2023-08-30,2,Shri Y. Manjunath
193,49538,A,2023-09-02,1,Shri M.V. Reddy
194,49626,B,2023-03-24,1,Shri R.K. Kulkarni
195,49655,B,2023-04-29,2,Smt. J. Anitha
196,49667,C,2023-12-12,2,Smt. P. Sridevi
197,319,C,2025-03-06,1,Shri S.R. Naik
198,395,B,2024-06-17,1,Shri R.K. Kulkarni
199,410,B,2024-10-15,1,Smt. R. Sumathi
200,538,B,2024-09-07,1,Smt. N. Hegde
201,1162,B,2024-09-17,2,Shri S.R. Naik
202,1234,B,2024-10-01,1,Shri R.K. Kulkarni
203,1754,B,2024-08-25,1,Shri P.K. Sharma
204,1798,B,2024-11-10,1,Shri T.G. Rao
205,1941,A,2025-02-28,1,Smt. V. Patil
206,1977,B,2024-08-22,1,Smt. R. Sumathi
207,2728,B,2025-01-27,2,Smt. D. Savitha
208,2743,A,2024-10-28,1,Shri B.N. Prasad
209,2862,C,2024-08-18,1,Smt. P. Sridevi
210,3182,B,2025-01-29,1,Shri R.K. Kulkarni
211,3252,C,2024-05-23,1,Shri A. Krishnamurthy
212,3510,B,2025-01-05,2,Shri R.K. Kulkarni
213,4357,B,2025-03-27,2,Shri T.G. Rao
214,4576,A,2024-11-28,2,Shri R.K. Kulkarni
215,4813,B,2025-04-11,2,Shri B.N. Prasad
216,5236,A,2025-05-25,2,Shri B.N. Prasad
217,5292,B,2025-02-23,2,Smt. V. Patil
218,5293,A,2024-12-12,1,Shri A. Krishnamurthy
219,5700,A,2024-11-17,2,Smt. N. Hegde
220,5729,B,2025-02-06,1,Smt. V. Patil
221,5811,B,2024-06-09,2,Smt. J. Anitha
222,5881,A,2025-02-26,2,Shri P.K. Sharma
223,6682,B,2024-09-01,2,Shri T.G. Rao
224,7081,B,2024-09-19,2,Smt. N. Hegde
225,7108,B,2024-10-02,1,Smt. J. Anitha
226,7369,B,2024-12-24,1,Smt. N. Hegde
227,7392,A,2024-09-28,1,Smt. K. Latha
228,7704,B,2025-01-04,2,Shri A. Krishnamurthy
229,8209,B,2024-10-04,1,Smt. R. Sumathi
230,8534,A,2024-10-01,1,Shri T.G. Rao
231,8553,B,2024-04-12,1,Smt. V. Patil
232,8563,C,2024-09-25,1,Smt. R. Sumathi
233,8568,B,2024-11-28,2,Smt. V. Patil
234,8657,B,2024-10-11,2,Shri A. Krishnamurthy
235,8669,C,2025-05-07,2,Smt. N. Hegde
236,8678,B,2025-04-13,2,Shri A. Krishnamurthy
237,8685,B,2024-06-30,2,Shri S.R. Naik
238,8791,A,2024-12-03,2,Shri M.V. Reddy
239,8802,A,2024-11-22,2,Smt. R. Sumathi
240,8819,C,2024-05-12,2,Smt. V. Patil
241,8878,C,2024-09-26,1,Smt. V. Patil
242,8890,B,2024-12-17,1,Smt. V. Patil
243,8895,A,2024-12-26,1,Smt. R. Sumathi
244,8919,A,2024-05-09,2,Smt. P. Sridevi
245,8952,B,2025-02-17,1,Shri B.N. Prasad
246,8965,B,2025-02-12,1,Smt. N. Hegde
247,8968,C,2024-05-15,1,Shri M.V. Reddy
248,8972,A,2024-07-09,1,Shri M.V. Reddy
249,8991,B,2024-08-29,1,Smt. J. Anitha
250,8999,A,2024-09-30,2,Smt. D. Savitha
251,9038,B,2024-11-28,1,Shri Y. Manjunath
252,9061,B,2024-09-30,1,Smt. V. Patil
253,9072,B,2024-09-16,2,Shri A. Krishnamurthy
254,9077,B,2025-05-14,1,Shri R.K. Kulkarni
255,9113,B,2024-06-16,1,Shri R.K. Kulkarni
256,9120,A,2024-08-15,1,Shri M.V. Reddy
257,9156,A,2025-01-26,1,Shri P.K. Sharma
258,9158,A,2024-11-27,2,Shri P.K. Sharma
259,9162,C,2024-12-15,2,Shri M.V. Reddy
260,9405,C,2025-01-12,2,Smt. J. Anitha
261,9456,B,2024-06-29,2,Smt. N. Hegde
262,10011,A,2024-12-12,2,Shri S.R. Naik
263,10973,B,2024-08-04,1,Smt. K. Latha
264,11262,C,2024-10-28,1,Smt. R. Sumathi
265,11628,A,2024-06-28,1,Smt. K. Latha
266,12142,B,2024-07-12,2,Shri M.V. Reddy
267,12472,B,2024-08-04,1,Shri P.K. Sharma
268,12488,B,2024-03-28,1,Shri A. Krishnamurthy
269,12541,B,2024-11-19,1,Shri T.G. Rao
270,12687,B,2024-11-08,1,Shri Y. Manjunath
271,12786,A,2025-01-05,1,Shri R.K. Kulkarni
272,13195,B,2024-05-03,1,Smt. D. Savitha
273,13548,C,2024-09-13,1,Smt. J. Anitha
274,13646,B,2025-03-09,2,Shri M.V. Reddy
275,13703,B,2025-02-19,1,Shri B.N. Prasad
276,13862,C,2025-03-08,1,Shri R.K. Kulkarni
277,14141,A,2024-07-04,2,Shri P.K. Sharma
278,15514,B,2025-02-25,1,Smt. P. Sridevi
279,15576,B,2024-06-08,1,Shri P.K. Sharma
280,15644,A,2025-05-07,2,Shri S.R. Naik
281,15751,A,2025-01-03,1,Shri S.R. Naik
282,15938,B,2024-08-02,2,Shri T.G. Rao
283,16349,B,2025-01-17,2,Shri A. Krishnamurthy
284,16386,A,2025-01-29,1,Smt. D. Savitha
285,16405,B,2024-12-05,1,Shri S.R. Naik
286,16412,B,2025-03-20,1,Smt. J. Anitha
287,16460,B,2024-11-22,2,Smt. K. Latha
288,16729,B,2025-02-13,1,Smt. N. Hegde
289,17044,B,2024-12-20,1,Shri T.G. Rao
290,17336,B,2025-03-21,2,Shri R.K. Kulkarni
291,17341,B,2024-09-02,2,Shri M.V. Reddy
292,17355,A,2024-10-25,2,Smt. R. Sumathi
293,17788,B,2024-07-12,1,Smt. R. Sumathi
294,17879,C,2024-05-21,1,Shri A. Krishnamurthy
295,18031,B,2025-06-16,2,Smt. R. Sumathi
296,18333,B,2024-09-29,1,Shri R.K. Kulkarni
297,18369,C,2025-01-22,1,Shri A. Krishnamurthy
298,18713,C,2024-12-09,2,Shri S.R. Naik
299,19066,B,2024-02-26,1,Shri P.K. Sharma
300,19219,A,2024-11-29,2,Shri B.N. Prasad
301,19310,B,2024-05-12,2,Smt. D. Savitha
302,20649,C,2025-03-09,2,Shri B.N. Prasad
303,21956,A,2025-02-10,1,Shri A. Krishnamurthy
304,22142,B,2025-04-11,2,Shri A. Krishnamurthy
305,22402,B,2024-10-04,1,Shri S.R. Naik
306,22683,C,2024-05-03,1,Shri M.V. Reddy
307,22748,B,2024-07-27,2,Shri T.G. Rao
308,22802,B,2024-07-11,1,Shri T.G. Rao
309,22841,B,2024-10-15,2,Smt. P. Sridevi
310,22978,B,2025-03-30,2,Shri B.N. Prasad
311,22982,B,2024-11-23,1,Smt. K. Latha
312,23247,A,2025-01-13,1,Smt. V. Patil
313,23543,B,2024-05-21,2,Smt. J. Anitha
314,23687,B,2024-09-23,1,Shri A. Krishnamurthy
315,23694,A,2025-01-05,1,Smt. J. Anitha
316,23770,A,2024-04-07,1,Shri S.R. Naik
317,23968,B,2024-09-23,2,Shri B.N. Prasad
318,24116,B,2024-07-16,2,Shri A. Krishnamurthy
319,24311,B,2024-06-28,2,Shri M.V. Reddy
320,24597,C,2024-07-07,2,Shri R.K. Kulkarni
321,24623,B,2024-10-23,2,Smt. K. Latha
322,24657,B,2025-01-15,2,Smt. D. Savitha
323,24767,B,2024-07-23,2,Shri P.K. Sharma
324,25120,A,2024-09-04,1,Smt. N. Hegde
325,25450,A,2024-05-01,1,Smt. V. Patil
326,25474,B,2024-03-05,1,Shri R.K. Kulkarni
327,25577,A,2024-10-03,1,Shri S.R. Naik
328,25770,A,2024-10-07,2,Shri M.V. Reddy
329,26084,B,2025-01-26,2,Shri M.V. Reddy
330,26132,C,2024-08-05,1,Shri P.K. Sharma
331,26438,B,2024-09-28,2,Shri Y. Manjunath
332,26535,A,2024-05-22,1,Smt. J. Anitha
333,27642,A,2024-03-27,2,Shri R.K. Kulkarni
334,28220,B,2024-09-30,1,Shri P.K. Sharma
335,28468,B,2024-12-24,1,Shri S.R. Naik
336,28664,A,2024-07-30,2,Smt. D. Savitha
337,30176,C,2025-02-16,1,Shri M.V. Reddy
338,30352,B,2024-11-05,1,Shri T.G. Rao
339,30827,B,2024-12-08,2,Smt. J. Anitha
340,30913,A,2024-06-21,1,Shri S.R. Naik
341,30980,A,2025-03-07,2,Smt. P. Sridevi
342,31309,B,2024-12-27,1,Shri M.V. Reddy
343,31416,A,2024-10-05,2,Shri M.V. Reddy
344,31649,B,2024-11-12,2,Smt. N. Hegde
345,32046,B,2024-08-22,1,Smt. P. Sridevi
346,32199,A,2025-01-25,2,Shri S.R. Naik
347,32244,C,2024-08-23,2,Shri Y. Manjunath
348,32432,A,2024-09-08,2,Smt. P. Sridevi
349,32823,B,2024-12-17,2,Shri P.K. Sharma
350,33094,B,2024-09-01,2,Shri A. Krishnamurthy
351,33726,C,2024-07-26,2,Shri A. Krishnamurthy
352,34468,B,2025-03-14,2,Smt. D. Savitha
353,34610,B,2024-07-08,2,Shri T.G. Rao
354,34973,A,2024-08-20,1,Smt. J. Anitha
355,35342,B,2024-12-10,2,Smt. P. Sridevi
356,35782,A,2025-03-29,1,Smt. K. Latha
357,36257,A,2025-04-19,2,Smt. R. Sumathi
358,36403,B,2024-09-27,2,Shri A. Krishnamurthy
359,36530,B,2024-09-09,2,Smt. K. Latha
360,37490,B,2024-07-23,2,Shri S.R. Naik
361,37694,A,2024-10-02,1,Smt. N. Hegde
362,38271,A,2025-03-11,1,Shri T.G. Rao
363,38361,B,2024-12-11,1,Shri M.V. Reddy
364,38574,B,2024-12-05,2,Shri A. Krishnamurthy
365,38899,B,2025-02-03,1,Shri Y. Manjunath
366,39500,B,2025-01-14,1,Smt. P. Sridevi
367,39519,B,2024-10-11,1,Smt. V. Patil
368,39900,B,2025-05-04,2,Smt. N. Hegde
369,39996,B,2024-05-10,2,Smt. K. Latha
370,40885,B,2024-04-14,1,Shri S.R. Naik
371,40978,A,2024-12-19,1,Smt. J. Anitha
372,41203,A,2024-11-28,1,Smt. V. Patil
373,41257,A,2025-05-06,1,Shri Y. Manjunath
374,41685,C,2024-11-11,2,Shri Y. Manjunath
375,41824,B,2024-11-27,1,Smt. P. Sridevi
376,41952,C,2024-11-30,1,Smt. D. Savitha
377,42090,B,2024-12-31,1,Smt. R. Sumathi
378,42173,A,2024-06-20,1,Smt. P. Sridevi
379,42726,B,2025-02-19,2,Shri R.K. Kulkarni
380,42785,A,2024-07-18,2,Smt. N. Hegde
381,42835,A,2024-07-24,1,Shri T.G. Rao
382,42945,B,2025-02-14,2,Smt. V. Patil
383,42980,B,2025-03-06,1,Shri T.G. Rao
384,43034,B,2024-05-25,2,Shri R.K. Kulkarni
385,43121,C,2025-01-24,2,Shri T.G. Rao
386,43442,C,2024-03-18,1,Smt. N. Hegde
387,43532,B,2024-03-25,1,Smt. D. Savitha
388,43725,B,2024-11-22,2,Smt. D. Savitha
389,43907,A,2024-04-11,1,Shri P.K. Sharma
390,43958,B,2024-08-06,1,Smt. K. Latha
391,43965,A,2025-02-06,1,Shri Y. Manjunath
392,43969,A,2025-01-14,2,Shri S.R. Naik
393,43978,A,2024-06-26,2,Shri Y. Manjunath
394,44243,B,2024-08-08,1,Smt. P. Sridevi
395,44657,B,2024-04-13,1,Smt. P. Sridevi
396,45096,B,2024-05-18,1,Shri T.G. Rao
397,45361,B,2025-01-05,1,Smt. V. Patil
398,45419,B,2024-09-17,1,Smt. D. Savitha
399,45984,B,2024-10-22,1,Smt. K. Latha
400,46081,C,2024-05-25,2,Smt. J. Anitha
401,46436,B,2024-08-03,1,Shri S.R. Naik
402,46478,C,2024-07-31,1,Smt. V. Patil
403,46555,B,2024-10-28,1,Smt. R. Sumathi
404,46643,B,2025-03-19,1,Shri A. Krishnamurthy
405,46728,B,2024-05-06,2,Shri M.V. Reddy
406,47091,A,2025-01-09,2,Shri T.G. Rao
407,47329,C,2024-10-30,2,Shri B.N. Prasad
408,47565,A,2024-07-14,1,Shri A. Krishnamurthy
409,47908,A,2025-01-02,1,Shri Y. Manjunath
410,48019,B,2024-05-19,2,Shri S.R. Naik
411,48059,A,2024-08-16,1,Smt. K. Latha
412,48529,B,2024-12-09,2,Shri M.V. Reddy
413,49067,A,2024-09-30,1,Smt. K. Latha
414,49135,A,2024-10-10,1,Shri A. Krishnamurthy
415,49708,B,2024-04-16,2,Shri A. Krishnamurthy
416,49892,B,2024-09-15,1,Shri B.N. Prasad
417,123,A,2026-03-22,1,Shri S.R. Naik
418,129,B,2025-08-09,1,Smt. R. Sumathi
419,174,B,2025-08-24,2,Shri B.N. Prasad
420,210,C,2025-03-04,1,Smt. J. Anitha
421,333,B,2025-11-22,2,Smt. R. Sumathi
422,354,B,2025-09-15,1,Smt. J. Anitha
423,666,B,2025-06-21,2,Shri T.G. Rao
424,1079,B,2026-03-18,2,Shri B.N. Prasad
425,1120,C,2026-03-03,1,Smt. J. Anitha
426,1185,B,2026-03-01,2,Smt. D. Savitha
427,1217,B,2025-05-27,1,Smt. R. Sumathi
428,1324,A,2025-09-26,1,Shri B.N. Prasad
429,1337,B,2025-08-28,2,Shri R.K. Kulkarni
430,1424,B,2026-02-08,2,Smt. N. Hegde
431,1435,A,2025-12-07,2,Smt. K. Latha
432,1491,A,2025-08-07,2,Smt. D. Savitha
433,1499,C,2026-02-12,1,Shri T.G. Rao
434,1712,A,2025-10-12,2,Shri M.V. Reddy
435,1789,A,2025-12-11,1,Smt. J. Anitha
436,1821,B,2026-03-19,1,Shri S.R. Naik
437,1961,A,2025-08-22,1,Shri A. Krishnamurthy
438,1969,B,2025-12-31,1,Smt. J. Anitha
439,1985,B,2025-06-19,2,Shri S.R. Naik
440,2031,B,2025-12-10,1,Shri M.V. Reddy
441,2038,B,2025-09-15,2,Smt. V. Patil
442,2111,B,2025-07-20,1,Shri P.K. Sharma
443,2175,B,2026-04-06,2,Shri A. Krishnamurthy
444,2858,B,2026-02-16,1,Shri Y. Manjunath
445,2912,B,2025-12-30,1,Smt. J. Anitha
446,2915,A,2025-07-26,2,Smt. D. Savitha
447,3105,B,2025-08-11,2,Smt. K. Latha
448,3218,B,2025-08-31,1,Shri P.K. Sharma
449,3557,B,2025-07-15,1,Shri S.R. Naik
450,3605,B,2026-02-15,2,Shri B.N. Prasad
451,3615,B,2025-03-29,2,Shri B.N. Prasad
452,3616,A,2026-02-21,2,Smt. P. Sridevi
453,3674,B,2025-10-08,2,Shri P.K. Sharma
454,3798,A,2026-04-06,2,Shri T.G. Rao
455,3817,B,2025-05-04,2,Smt. V. Patil
456,4047,A,2025-12-18,2,Shri Y. Manjunath
457,4151,B,2025-09-18,1,Smt. J. Anitha
458,4389,C,2025-07-22,2,Shri A. Krishnamurthy
459,4467,B,2025-12-29,2,Smt. R. Sumathi
460,4738,C,2026-01-08,1,Smt. N. Hegde
461,5027,B,2026-01-29,2,Smt. V. Patil
462,5270,B,2026-04-25,2,Shri A. Krishnamurthy
463,5442,A,2025-03-04,1,Shri S.R. Naik
464,5446,A,2025-08-20,2,Shri M.V. Reddy
465,5477,B,2025-07-30,2,Shri T.G. Rao
466,5957,A,2025-07-08,1,Smt. P. Sridevi
467,6062,C,2026-03-10,2,Shri T.G. Rao
468,6123,A,2026-01-01,1,Shri P.K. Sharma
469,6268,A,2026-06-14,2,Smt. P. Sridevi
470,6501,A,2025-09-09,2,Shri Y. Manjunath
471,6966,B,2025-04-06,2,Shri R.K. Kulkarni
472,7169,B,2026-04-28,1,Shri A. Krishnamurthy
473,7207,B,2026-02-21,1,Smt. P. Sridevi
474,7231,A,2025-12-07,1,Shri T.G. Rao
475,7266,A,2025-12-15,2,Smt. V. Patil
476,7346,A,2025-04-08,1,Shri T.G. Rao
477,7439,A,2025-06-25,1,Shri T.G. Rao
478,7889,A,2025-11-15,1,Shri S.R. Naik
479,8520,B,2026-02-20,2,Smt. J. Anitha
480,8531,A,2025-12-30,1,Shri Y. Manjunath
481,8584,B,2026-01-06,2,Smt. N. Hegde
482,8618,B,2025-10-16,2,Shri P.K. Sharma
483,8629,A,2025-11-28,1,Smt. K. Latha
484,8638,B,2025-05-22,2,Shri R.K. Kulkarni
485,8655,B,2025-12-17,2,Shri B.N. Prasad
486,8661,B,2026-01-14,2,Shri M.V. Reddy
487,8672,A,2025-10-01,2,Shri S.R. Naik
488,8677,B,2025-07-23,1,Smt. J. Anitha
489,8683,B,2025-07-27,1,Shri S.R. Naik
490,8713,B,2026-02-01,1,Shri A. Krishnamurthy
491,8730,A,2026-03-29,2,Shri P.K. Sharma
492,8737,A,2025-09-13,2,Shri A. Krishnamurthy
493,8808,B,2025-06-02,1,Smt. D. Savitha
494,8817,B,2025-05-23,2,Smt. V. Patil
495,8821,B,2025-07-26,1,Smt. R. Sumathi
496,8850,B,2025-08-15,1,Smt. P. Sridevi
497,8854,A,2026-02-11,1,Smt. V. Patil
498,8861,A,2025-05-05,1,Shri A. Krishnamurthy
499,8874,B,2026-05-12,1,Shri A. Krishnamurthy
500,8876,B,2025-05-03,1,Smt. R. Sumathi
501,8889,A,2025-05-19,2,Shri S.R. Naik
502,8906,B,2026-03-07,2,Smt. K. Latha
503,8951,B,2026-05-30,2,Shri T.G. Rao
