ArrestID,CaseID,AccusedID,ArrestDate,ArrestType,ArrestingOfficerID
144,33164,144,2025-10-25,Surrender,16
145,42484,145,2024-07-13,Arrested,74
146,34218,146,2024-03-29,Arrested,54
147,27464,147,2024-05-17,Arrested,85
148,28189,148,2025-02-06,Arrested,44
149,21111,149,2025-12-21,Arrested,119
150,18852,150,2025-12-11,Arrested,51
151,24591,151,2023-05-09,Arrested,85
152,38267,152,2023-09-17,Arrested,14
153,16202,153,2023-12-14,Surrender,104
154,35025,154,2024-09-27,Arrested,13
155,27476,155,2025-03-03,Surrender,99
156,33686,156,2023-09-22,Arrested,22
157,32156,157,2024-10-12,Arrested,39
158,27964,158,2024-02-23,Arrested,14
159,27464,159,2024-03-30,Arrested,82
160,28189,160,2025-03-29,Arrested,45
161,21111,161,2025-11-07,Arrested,118
162,18852,162,2025-11-17,Arrested,55
163,24591,163,2023-04-24,Arrested,83
164,38267,164,2023-09-13,Arrested,13
165,27525,165,2024-07-10,Arrested,117
166,16202,166,2024-01-16,Arrested,99
167,49711,167,2025-09-28,Arrested,30
168,42484,168,2024-05-14,Arrested,74
169,32156,169,2024-08-27,Surrender,35
170,27464,170,2024-05-11,Arrested,86
171,21111,171,2025-12-29,Arrested,116
172,18852,172,2025-11-29,Surrender,55
173,29477,173,2024-07-03,Arrested,31
174,21364,174,2026-02-09,Arrested,80
175,16202,175,2023-12-02,Arrested,102
176,49711,176,2025-08-10,Arrested,26
177,35025,177,2024-09-22,Arrested,11
178,27476,178,2025-03-30,Arrested,100
179,33164,179,2025-10-31,Arrested,12
180,32156,180,2024-07-29,Arrested,38
181,27964,181,2024-03-19,Arrested,10
182,21111,182,2025-10-29,Arrested,117
183,18852,183,2025-12-07,Arrested,52
184,29477,184,2024-06-22,Surrender,26
185,38267,185,2023-08-04,Arrested,13
186,27525,186,2024-06-20,Arrested,120
187,16202,187,2023-10-30,Arrested,99
188,49711,188,2025-09-11,Arrested,27
189,35025,189,2024-11-26,Arrested,14
190,33895,190,2024-01-04,Arrested,10
191,33686,191,2023-11-17,Arrested,23
192,32156,192,2024-08-20,Arrested,40
193,27964,193,2024-03-16,Surrender,13
194,27464,194,2024-04-03,Arrested,87
195,28189,195,2025-02-09,Surrender,45
196,21111,196,2025-12-26,Arrested,113
197,29477,197,2024-08-09,Arrested,31
198,38267,198,2023-08-21,Arrested,10
199,27525,199,2024-05-20,Arrested,119
200,35025,200,2024-09-03,Arrested,16
201,33895,201,2023-12-20,Arrested,9
202,33686,202,2023-11-10,Surrender,22
203,33164,203,2025-11-11,Arrested,9
204,42484,204,2024-06-19,Arrested,75
205,27964,205,2023-12-25,Arrested,9
206,27464,206,2024-04-11,Arrested,88
207,28189,207,2025-04-18,Arrested,43
208,29477,208,2024-06-20,Arrested,28
209,24591,209,2023-04-24,Arrested,86
210,38267,210,2023-08-18,Arrested,14
211,21364,211,2026-02-11,Arrested,73
212,16202,212,2023-10-30,Arrested,100
213,35025,213,2024-09-22,Surrender,9
214,27476,214,2025-04-02,Arrested,101
215,33686,215,2023-11-04,Arrested,19
216,33164,216,2025-11-23,Arrested,13
217,42484,217,2024-05-18,Surrender,75
218,32156,218,2024-08-24,Arrested,37
219,34218,219,2024-03-06,Surrender,53
220,27464,220,2024-04-03,Arrested,86
221,21111,221,2025-11-16,Arrested,115
222,29477,222,2024-07-04,Arrested,27
223,24591,223,2023-04-03,Arrested,84
224,38267,224,2023-09-15,Arrested,16
225,21364,225,2026-03-02,Arrested,80
226,27525,226,2024-04-30,Arrested,115
227,35025,227,2024-09-16,Arrested,10
228,27476,228,2025-04-26,Arrested,99
229,33164,229,2025-10-11,Arrested,15
230,42484,230,2024-04-26,Arrested,75
231,32156,231,2024-09-02,Surrender,40
232,34218,232,2024-04-17,Surrender,56
233,27964,233,2024-01-21,Arrested,9
234,18852,234,2025-09-23,Arrested,50
235,13001,235,2025-11-09,Arrested,312
236,13001,236,2025-12-01,Arrested,312
237,13001,237,2025-11-16,Surrender,305
238,13001,238,2026-01-07,Surrender,306
239,13002,239,2023-06-16,Arrested,23
240,13002,240,2023-06-19,Arrested,23
241,13002,241,2023-07-05,Arrested,20
242,13003,242,2023-07-28,Arrested,371
243,13003,243,2023-08-12,Surrender,375
244,13004,244,2025-02-02,Arrested,392
245,13004,245,2025-01-01,Arrested,390
246,13005,246,2025-02-14,Surrender,104
247,13005,247,2025-01-29,Arrested,102
248,13005,248,2025-01-27,Surrender,97
249,13006,249,2023-07-21,Arrested,310
250,13006,250,2023-09-12,Surrender,310
251,13006,251,2023-10-10,Arrested,310
252,13007,252,2025-08-28,Arrested,373
253,13007,253,2025-08-21,Arrested,374
254,13007,254,2025-07-01,Arrested,375
255,13008,255,2025-11-05,Arrested,345
256,13008,256,2025-11-22,Arrested,345
257,13008,257,2025-12-22,Arrested,345
258,13008,258,2025-10-13,Surrender,350
259,13009,259,2023-11-28,Arrested,466
260,13009,260,2023-10-20,Arrested,466
261,13009,261,2023-12-31,Arrested,470
262,13010,262,2023-11-16,Arrested,360
263,13010,263,2024-01-20,Arrested,358
264,13011,264,2024-03-29,Arrested,112
265,13011,265,2024-02-19,Arrested,105
266,13011,266,2024-04-10,Arrested,108
267,13012,267,2025-05-07,Arrested,68
268,13012,268,2025-05-08,Arrested,68
269,13013,269,2023-07-07,Arrested,345
270,13013,270,2023-05-19,Arrested,351
271,13013,271,2023-04-17,Surrender,345
272,13014,272,2024-11-29,Arrested,418
273,13014,273,2024-12-11,Surrender,421
274,13014,274,2024-12-14,Arrested,423
275,13014,275,2024-11-20,Arrested,418
276,13015,276,2025-12-16,Arrested,385
277,13015,277,2026-01-03,Arrested,389
278,13015,278,2026-01-05,Arrested,385
279,13015,279,2025-11-30,Arrested,387
280,3184,9193,2024-08-12,Arrested,45
281,1700,34688,2023-12-15,Arrested,344
282,40395,46633,2024-10-21,Arrested,725
283,420,46211,2025-09-08,Arrested,704
284,12204,35367,2025-08-06,Arrested,347
285,16051,35014,2026-06-15,Arrested,338
286,38382,47211,2023-02-25,Arrested,750
287,43965,988,2025-01-25,Arrested,1
288,710,41410,2025-09-05,Arrested,513
289,37145,16264,2026-06-30,Arrested,73
290,12901,27347,2023-09-13,Arrested,225
291,37856,40389,2025-07-12,Arrested,473
292,4234,55758,2023-12-29,Arrested,1359
293,6846,10446,2023-08-18,Surrender,51
294,38531,51620,2024-07-28,Arrested,1005
295,1387,47990,2026-03-03,Arrested,786
296,18627,59153,2024-12-11,Arrested,1735
297,29389,50478,2025-10-29,Arrested,919
298,10765,4038,2023-09-25,Surrender,19
299,18533,60788,2023-10-02,Arrested,1965
300,41730,37819,2025-11-29,Surrender,395
301,14801,25067,2023-08-27,Arrested,174
302,37979,20001,2024-08-06,Arrested,104
303,19315,60381,2025-02-24,Arrested,1897
304,48769,43227,2024-07-13,Arrested,585
305,33338,41185,2024-05-16,Arrested,510
306,44242,42940,2025-09-13,Arrested,571
307,43016,26699,2026-02-13,Arrested,214
308,27673,27967,2023-12-05,Arrested,240
309,24243,54232,2026-01-13,Arrested,1199
310,1136,4308,2024-11-07,Surrender,17
311,47469,32881,2023-06-21,Arrested,305
312,34343,41522,2023-08-21,Arrested,516
313,44504,14361,2025-07-17,Surrender,65
314,4961,35448,2026-06-30,Arrested,351
315,8928,1766,2023-12-04,Arrested,7
316,20983,9685,2025-11-09,Arrested,47
317,8870,4799,2025-08-31,Surrender,17
318,39457,52721,2026-04-25,Surrender,1073
319,45976,48558,2025-07-27,Arrested,813
320,32441,55370,2023-04-20,Arrested,1315
321,49294,10733,2023-11-14,Arrested,53
322,713,30918,2025-07-23,Arrested,280
323,4515,36463,2023-10-19,Arrested,367
324,24124,24092,2023-08-21,Arrested,127
325,958,11950,2024-01-07,Arrested,58
326,13500,4442,2024-07-28,Arrested,18
327,12887,26228,2023-10-15,Arrested,212
328,11899,56275,2023-09-06,Arrested,1413
329,33674,8212,2025-10-26,Arrested,34
330,43800,47468,2024-12-01,Arrested,759
331,49528,14580,2026-06-30,Surrender,65
332,41426,41594,2023-03-23,Arrested,523
333,21327,4487,2024-11-12,Arrested,21
334,25109,4525,2024-08-17,Arrested,19
335,28651,9003,2023-09-16,Arrested,45
336,13920,25709,2023-05-20,Arrested,203
337,43475,23182,2024-12-09,Arrested,113
338,46020,28288,2026-02-15,Surrender,237
339,18149,60727,2026-01-23,Arrested,1948
340,14814,56640,2026-01-16,Arrested,1454
341,13044,35373,2025-05-07,Arrested,347
342,31274,46032,2025-01-16,Arrested,696
343,29609,33355,2023-05-19,Arrested,314
344,18030,55815,2024-06-05,Arrested,1362
345,10713,13739,2024-07-16,Arrested,71
346,31303,24406,2024-03-08,Arrested,133
347,49701,25292,2025-03-05,Arrested,184
348,8218,19807,2025-02-01,Arrested,98
349,45699,6051,2023-07-07,Arrested,28
350,36768,557,2023-03-27,Arrested,3
351,45483,47624,2023-09-11,Arrested,767
352,24023,55540,2023-03-03,Surrender,1340
353,13175,60309,2024-01-22,Arrested,1894
354,29814,40617,2026-05-07,Surrender,487
355,40711,39075,2024-04-27,Arrested,440
356,8060,35258,2025-02-11,Arrested,352
357,1114,32402,2024-07-22,Arrested,297
358,24519,17691,2024-03-02,Surrender,84
359,28775,34275,2023-11-21,Arrested,329
360,5212,23573,2026-06-30,Arrested,119
361,48215,44408,2024-12-02,Arrested,622
362,20628,42902,2026-04-30,Arrested,566
363,34595,39068,2024-03-21,Surrender,437
364,47664,31724,2024-10-26,Arrested,282
365,22019,10890,2024-09-15,Arrested,52
366,5221,22939,2024-05-23,Arrested,113
367,47817,38325,2025-06-20,Arrested,410
368,969,37381,2025-09-09,Arrested,377
369,10944,16392,2023-07-23,Arrested,81
370,29378,60977,2026-03-13,Arrested,1983
371,44992,28285,2025-04-01,Arrested,237
372,26407,9353,2024-04-02,Arrested,46
373,17236,15643,2025-06-17,Arrested,79
374,30101,53316,2025-03-09,Arrested,1116
375,18153,37752,2024-12-17,Arrested,393
376,12906,39875,2025-09-10,Arrested,463
377,16239,47285,2026-02-28,Arrested,748
378,1641,35246,2024-07-04,Surrender,351
379,5584,42480,2024-08-27,Arrested,554
380,41943,15821,2025-10-01,Arrested,75
381,36951,5992,2023-11-08,Arrested,28
382,38563,60771,2026-03-04,Arrested,1953
383,11040,16395,2023-11-23,Arrested,85
384,29664,37162,2024-06-10,Surrender,383
385,43734,30781,2023-06-26,Arrested,277
386,1603,13339,2025-08-17,Arrested,59
387,47254,60722,2024-01-25,Arrested,1948
388,8692,3978,2023-08-09,Surrender,19
389,6919,40405,2026-04-30,Arrested,476
390,25245,15946,2026-06-09,Surrender,75
391,17233,32652,2026-03-30,Arrested,297
392,41907,2066,2024-11-05,Arrested,5
393,30247,49110,2026-04-03,Arrested,840
394,2584,28581,2024-06-13,Arrested,243
395,40814,19692,2023-03-03,Surrender,102
396,23622,18791,2025-07-07,Arrested,96
397,30032,42838,2024-04-07,Arrested,570
398,32490,34493,2025-08-29,Arrested,332
399,22521,14791,2023-05-06,Arrested,71
400,38821,33181,2026-03-24,Arrested,312
401,15579,10845,2024-05-01,Arrested,51
402,19876,40313,2024-05-27,Arrested,480
403,35602,12420,2025-02-21,Arrested,63
404,5183,2146,2023-04-08,Surrender,11
405,42487,55109,2025-11-01,Arrested,1289
406,45506,48622,2023-07-25,Arrested,821
407,47553,28152,2024-05-20,Arrested,237
408,37387,24895,2023-04-29,Surrender,162
409,14525,9634,2025-10-18,Arrested,43
410,7706,7309,2023-05-11,Arrested,37
411,18898,44636,2024-08-06,Arrested,639
412,3157,57179,2025-04-16,Arrested,1504
413,1805,18272,2024-07-01,Arrested,96
414,35702,29439,2026-06-30,Arrested,249
415,12325,49637,2026-03-23,Arrested,870
416,38900,10072,2026-02-27,Arrested,47
417,13651,25806,2024-04-22,Surrender,204
418,35433,25970,2026-01-15,Arrested,203
419,25884,58247,2024-06-28,Arrested,1633
420,8812,1146,2025-06-23,Arrested,5
421,19239,12037,2023-07-07,Arrested,57
422,2157,9189,2024-02-12,Arrested,44
423,10520,756,2024-08-28,Arrested,8
424,24719,15698,2025-09-16,Arrested,79
425,16883,42208,2025-07-13,Arrested,544
426,26329,58200,2025-05-01,Arrested,1623
427,44949,19315,2024-05-27,Arrested,95
428,5890,27222,2023-12-22,Arrested,224
429,4536,36942,2024-02-12,Arrested,370
430,37012,42752,2025-09-29,Arrested,561
431,33108,11879,2023-12-02,Arrested,50
432,33620,24342,2024-02-24,Arrested,135
433,19884,39820,2024-09-17,Arrested,464
434,48401,35821,2024-06-11,Surrender,356
435,47487,28151,2024-08-16,Arrested,235
436,19559,27498,2024-06-06,Surrender,225
437,37620,58046,2026-06-22,Arrested,1602
438,48303,34793,2023-12-06,Arrested,343
439,24450,22757,2023-03-25,Arrested,120
440,12772,23268,2025-12-30,Arrested,113
441,36882,50701,2026-06-23,Arrested,933
442,31751,24515,2025-05-21,Arrested,144
443,47516,40350,2024-10-04,Arrested,480
444,6227,19785,2025-01-14,Surrender,98
445,43546,17335,2026-03-12,Arrested,81
446,35074,8227,2025-02-20,Arrested,34
447,27711,27225,2023-12-15,Arrested,220
448,40522,3260,2025-07-28,Arrested,14
449,37306,19126,2026-03-04,Arrested,92
450,7349,43467,2026-03-15,Arrested,590
451,21796,12695,2025-02-22,Arrested,59
452,30313,21507,2024-05-09,Arrested,107
453,31072,50851,2025-05-20,Arrested,947
454,21542,38941,2023-02-10,Surrender,425
455,6481,33198,2023-08-01,Arrested,305
456,23843,53709,2025-02-13,Arrested,1150
457,6066,49399,2024-11-23,Arrested,853
458,39142,59446,2023-09-04,Arrested,1770
459,28319,28250,2025-10-22,Surrender,239
460,2329,39032,2024-10-30,Arrested,439
461,12220,26174,2024-08-03,Arrested,205
462,32686,53454,2025-06-10,Arrested,1132
463,29617,21144,2023-11-25,Arrested,109
464,12221,29474,2026-06-30,Arrested,249
465,36876,19667,2023-03-10,Arrested,104
466,23933,32204,2023-05-01,Arrested,291
467,43881,55505,2026-05-27,Arrested,1335
468,45078,3288,2025-06-06,Arrested,13
469,46007,43515,2025-04-02,Arrested,592
470,30471,24584,2023-02-23,Arrested,148
471,15388,51229,2025-03-17,Arrested,976
472,33552,24629,2024-03-16,Arrested,150
473,41382,47194,2026-04-23,Arrested,746
474,5324,61029,2023-06-21,Arrested,1999
475,6121,9573,2025-12-03,Arrested,48
476,48887,4301,2023-06-17,Arrested,23
477,11554,11161,2025-11-13,Arrested,54
478,31882,11304,2025-04-11,Arrested,55
479,37738,21573,2024-11-16,Arrested,107
480,25471,7755,2024-05-23,Arrested,38
481,35252,27554,2024-10-03,Arrested,231
482,4507,44800,2024-02-14,Arrested,646
483,1457,43777,2025-10-20,Arrested,601
484,28764,17796,2026-03-29,Arrested,88
485,35527,35998,2024-12-20,Arrested,356
486,29530,54236,2025-11-08,Arrested,1197
487,14161,53937,2024-03-28,Arrested,1172
488,15585,3741,2025-06-11,Arrested,15
489,35260,49511,2026-04-28,Arrested,860
490,40036,29798,2025-02-14,Arrested,263
491,10174,58026,2026-01-16,Arrested,1608
492,22653,42681,2026-01-25,Arrested,565
493,30111,36149,2023-03-07,Arrested,368
494,33731,40530,2024-09-24,Arrested,485
495,36400,53864,2024-10-05,Arrested,1161
496,20164,20239,2025-05-10,Arrested,98
497,24142,7397,2023-09-13,Surrender,36
498,18061,4895,2025-12-24,Arrested,24
499,21454,49185,2024-12-02,Arrested,847
500,34633,30891,2024-03-02,Arrested,274
501,17151,23616,2026-06-30,Surrender,114
502,25600,39884,2025-09-01,Arrested,457
503,3917,44841,2025-08-13,Arrested,648
504,4336,23568,2026-03-13,Arrested,119
505,39525,26437,2024-08-23,Surrender,213
506,18321,53760,2023-10-04,Arrested,1160
507,3546,7963,2026-01-12,Arrested,38
508,7802,17942,2023-12-21,Arrested,90
509,24661,53521,2025-12-18,Arrested,1138
510,45,14404,2026-03-11,Arrested,70
511,3424,21321,2024-06-18,Arrested,106
512,20281,6573,2025-06-25,Arrested,25
513,10947,29468,2025-07-25,Arrested,252
514,41723,24873,2024-04-19,Arrested,155
515,36617,23460,2025-06-08,Surrender,116
516,7091,3355,2026-04-23,Arrested,15
517,44161,6965,2023-11-30,Arrested,31
518,19815,22725,2023-11-22,Arrested,113
519,39081,8286,2026-01-06,Arrested,35
520,35969,13208,2024-08-23,Arrested,62
521,49736,54677,2025-10-30,Arrested,1242
522,40114,49890,2026-01-06,Arrested,884
523,5603,23575,2026-03-23,Arrested,113
524,8567,1129,2025-12-27,Arrested,6
525,26856,12720,2025-12-21,Arrested,58
526,34664,52280,2024-05-02,Arrested,1047
527,8623,2578,2024-07-25,Arrested,14
528,12233,50246,2025-09-16,Arrested,903
529,6905,7016,2026-06-30,Surrender,32
530,25201,14710,2025-01-04,Arrested,65
531,4286,36628,2024-06-18,Arrested,370
532,24483,6225,2024-06-14,Arrested,30
533,37592,21987,2025-09-01,Arrested,108
534,12610,24612,2024-11-16,Arrested,149
535,19170,8948,2023-04-18,Arrested,43
536,15074,7670,2024-11-04,Arrested,40
537,17022,17983,2023-05-23,Arrested,95
538,48090,29453,2026-06-07,Surrender,251
539,17776,52402,2026-02-04,Arrested,1049
540,47356,38766,2023-12-01,Arrested,432
541,17894,38724,2023-06-14,Arrested,427
542,20517,49424,2023-08-28,Arrested,861
543,8088,44421,2023-01-05,Surrender,628
544,33189,45946,2024-06-13,Arrested,690
545,19319,46660,2025-04-14,Arrested,722
546,45435,17803,2026-06-19,Arrested,86
547,7851,22117,2026-03-24,Arrested,106
548,9414,5198,2026-06-30,Arrested,23
549,34420,541,2023-09-27,Arrested,2
550,8431,9963,2026-06-25,Arrested,48
551,49772,52201,2025-07-28,Arrested,1039
552,5983,58863,2024-10-06,Arrested,1709
553,24622,492,2024-02-22,Arrested,4
554,43851,14558,2026-06-29,Surrender,70
555,37367,35539,2024-03-07,Arrested,348
556,11012,22122,2026-06-30,Arrested,105
557,45007,55433,2026-05-08,Arrested,1326
558,29484,3469,2026-04-28,Arrested,15
559,40298,6012,2023-10-07,Arrested,30
560,11699,28437,2024-07-18,Arrested,234
561,11558,24878,2023-07-03,Arrested,166
562,7768,2016,2023-02-02,Arrested,6
563,39004,37185,2024-07-29,Arrested,377
564,17389,8061,2025-05-31,Arrested,38
565,26693,59338,2026-01-26,Surrender,1761
566,15292,28077,2024-12-26,Arrested,235
567,28562,51663,2026-05-22,Surrender,1006
568,26118,9731,2025-10-18,Surrender,42
569,48583,26067,2026-01-29,Arrested,207
570,14924,21049,2023-10-16,Arrested,107
571,15291,39100,2025-09-30,Arrested,437
572,21930,8101,2025-09-07,Arrested,37
573,4952,17921,2023-11-08,Arrested,91
574,17423,23295,2025-11-09,Surrender,120
575,21148,8758,2023-06-29,Arrested,33
576,17183,13785,2024-09-10,Arrested,65
577,29910,51163,2025-04-07,Arrested,971
578,36852,2808,2024-09-09,Surrender,16
579,13359,38780,2024-11-19,Arrested,431
580,32070,6293,2024-11-19,Arrested,26
581,46158,22882,2023-08-28,Arrested,118
582,29120,23083,2024-04-23,Arrested,120
583,40574,26153,2026-06-18,Arrested,203
584,33718,41289,2024-02-17,Arrested,506
585,24292,4141,2023-07-06,Arrested,17
586,22735,55803,2026-03-01,Arrested,1357
587,39053,21588,2024-12-05,Arrested,107
588,23340,1323,2025-09-05,Arrested,7
589,30648,34095,2026-04-09,Arrested,322
590,36653,54063,2023-06-26,Arrested,1184
591,3846,42300,2026-03-04,Surrender,545
592,34760,7821,2025-02-12,Arrested,33
593,44411,53887,2025-09-03,Arrested,1166
594,5882,40246,2023-07-10,Arrested,474
595,28369,55347,2024-05-02,Arrested,1321
596,2902,47664,2024-08-01,Arrested,772
597,5982,5776,2023-11-22,Surrender,27
598,23762,34596,2024-02-03,Surrender,330
599,32963,45908,2025-02-19,Arrested,690
600,9543,34071,2026-05-24,Arrested,323
601,11788,12631,2025-04-27,Arrested,63
602,30455,55544,2023-08-12,Arrested,1342
603,23777,22261,2024-01-30,Arrested,106
604,19484,7707,2024-03-20,Arrested,34
605,1179,46315,2024-09-27,Surrender,710
606,49037,17888,2025-08-02,Surrender,82
607,10555,33790,2023-06-20,Arrested,328
608,6017,14423,2026-04-27,Arrested,66
609,11772,42936,2025-04-06,Arrested,566
610,40786,5426,2026-06-30,Arrested,19
611,23178,7736,2024-08-29,Arrested,40
612,17948,43482,2026-05-12,Arrested,590
613,21659,26634,2026-01-31,Surrender,209
614,32338,44072,2023-04-08,Surrender,618
615,48177,51050,2026-01-04,Arrested,960
616,36498,59928,2024-10-23,Arrested,1836
617,24149,39451,2026-05-14,Arrested,445
618,18626,25819,2024-03-20,Arrested,204
619,32600,533,2023-05-08,Arrested,1
620,40409,37648,2023-03-31,Arrested,392
621,31049,26422,2024-04-21,Arrested,214
622,22659,22744,2024-01-07,Surrender,117
623,2968,36410,2026-06-30,Arrested,361
624,34464,7155,2026-03-11,Surrender,31
625,746,55026,2025-10-01,Arrested,1281
626,44573,37826,2025-08-13,Arrested,400
627,25481,55933,2025-10-24,Arrested,1372
628,10879,22659,2023-07-31,Arrested,113
629,1929,38267,2025-05-17,Arrested,414
630,32928,6646,2025-10-12,Arrested,30
631,28588,23082,2024-09-16,Arrested,116
632,21042,57423,2026-06-30,Arrested,1536
633,10049,53278,2025-11-20,Arrested,1113
634,38767,5998,2023-12-28,Arrested,30
635,9327,28871,2026-06-01,Arrested,247
636,17286,10204,2026-01-26,Arrested,44
637,9189,42486,2024-11-21,Arrested,557
638,47471,7234,2024-09-07,Arrested,25
639,42448,49461,2024-03-14,Arrested,862
640,3837,57427,2025-07-15,Arrested,1535
641,14559,32799,2023-11-22,Arrested,305
642,18044,29727,2024-08-10,Arrested,261
643,35611,22326,2025-09-25,Arrested,110
